id,message,true_intent,expected_action,expected_reply_points,notes
gold_082,@AppleSupport Contacts vanished from phone after toggling iCloud account off.,account_icloud,AUTO-HANDLE,Toggle Contacts switch back ON under Settings > [Your Name] > iCloud.,candidate_for_human_verification - Curated AppleSupport domain example
gold_083,@AppleSupport How to setup Legacy Contact for Apple ID digital inheritance?,account_icloud,AUTO-HANDLE,Go to Settings > [Your Name] > Sign-In & Security > Legacy Contact.,candidate_for_human_verification - Curated AppleSupport domain example
gold_084,@AppleSupport Verification code sent to Apple Watch not displaying code digits.,account_icloud,ESCALATE,Check Bluetooth connectivity between iPhone and Watch; resend SMS code.,candidate_for_human_verification - Curated AppleSupport domain example
gold_085,@AppleSupport iCloud Private Relay not working on public Wi-Fi network.,account_icloud,AUTO-HANDLE,Some public Wi-Fi networks block Private Relay; disable in network settings.,candidate_for_human_verification - Curated AppleSupport domain example
gold_086,@AppleSupport Notes app stopped syncing entries between iPhone and MacBook.,account_icloud,AUTO-HANDLE,Check Default Account setting in Settings > Notes.,candidate_for_human_verification - Curated AppleSupport domain example
gold_087,@AppleSupport Apple ID account disabled for security reasons pop-up.,account_icloud,ESCALATE,Direct user to reset password at iforgot.apple.com.,candidate_for_human_verification - Curated AppleSupport domain example
gold_088,@AppleSupport How do I create a custom email domain with my iCloud+ subscription?,account_icloud,AUTO-HANDLE,Set up custom domain at icloud.com/settings or via iCloud Mail settings.,candidate_for_human_verification - Curated AppleSupport domain example
gold_089,@AppleSupport Hide My Email feature creating random address not sending emails.,account_icloud,AUTO-HANDLE,Check forwarded address under Settings > [Your Name] > iCloud > Hide My Email.,candidate_for_human_verification - Curated AppleSupport domain example
gold_090,@AppleSupport Child account age change request failing on Family Sharing admin console.,account_icloud,ESCALATE,Contact Apple Support to verify legal birth certificate details for child account.,candidate_for_human_verification - Curated AppleSupport domain example
gold_091,@AppleSupport I was double charged $14.99 for my monthly Apple Music subscription on my credit card!,billing_refund,ESCALATE,Direct to reportaproblem.apple.com; escalate to human billing specialist.,candidate_for_human_verification - Curated AppleSupport domain example
gold_092,@AppleSupport My child accidentally spent $50 on in-app purchases. I need an immediate refund.,billing_refund,ESCALATE,Submit refund request at reportaproblem.apple.com; enable Screen Time purchase limits.,candidate_for_human_verification - Curated AppleSupport domain example
gold_093,@AppleSupport How do I cancel an active auto-renewing app subscription on my iPhone?,billing_refund,AUTO-HANDLE,Go to Settings > [Your Name] > Subscriptions > Cancel Subscription.,candidate_for_human_verification - Curated AppleSupport domain example
gold_094,@AppleSupport Charged $99.99 for annual app auto-renewal without pre-notification.,billing_refund,ESCALATE,Request refund via reportaproblem.apple.com; check subscription terms.,candidate_for_human_verification - Curated AppleSupport domain example
gold_095,@AppleSupport App Store gift card code shows 'already redeemed' when entered.,billing_refund,ESCALATE,Verify purchase receipt; escalate to Apple Gift Card billing support.,candidate_for_human_verification - Curated AppleSupport domain example
gold_096,@AppleSupport How to change credit card billing details on iTunes account?,billing_refund,AUTO-HANDLE,Update payment method in Settings > [Your Name] > Payment & Shipping.,candidate_for_human_verification - Curated AppleSupport domain example
gold_097,@AppleSupport Payment method declined error message on App Store despite sufficient funds.,billing_refund,ESCALATE,Check billing address details or contact credit card issuing bank.,candidate_for_human_verification - Curated AppleSupport domain example
gold_098,@AppleSupport Subscribed to 7-day free trial but credit card was billed full price immediately.,billing_refund,ESCALATE,Submit billing claim at reportaproblem.apple.com for trial fee refund.,candidate_for_human_verification - Curated AppleSupport domain example
gold_099,@AppleSupport How do I view purchase history for App Store transactions from last year?,billing_refund,AUTO-HANDLE,View purchase history under Settings > [Your Name] > Media & Purchases > View Account.,candidate_for_human_verification - Curated AppleSupport domain example
gold_100,@AppleSupport Unknown charge from 'APPLE.COM/BILL' for $29.99 on bank statement.,billing_refund,ESCALATE,Search purchase history at reportaproblem.apple.com; escalate if unrecognized.,candidate_for_human_verification - Curated AppleSupport domain example
gold_101,@AppleSupport How to redeem an Apple Gift Card code on iPhone?,billing_refund,AUTO-HANDLE,Open App Store > tap account icon > tap Redeem Gift Card or Code.,candidate_for_human_verification - Curated AppleSupport domain example
gold_102,@AppleSupport Refund request for accidentally purchased app was denied. How do I appeal?,billing_refund,ESCALATE,Escalate to Senior Billing Supervisor for refund appeal review.,candidate_for_human_verification - Curated AppleSupport domain example
gold_103,@AppleSupport Can I use PayPal as primary payment method for App Store purchases?,billing_refund,AUTO-HANDLE,PayPal can be added under Settings > [Your Name] > Payment & Shipping.,candidate_for_human_verification - Curated AppleSupport domain example
gold_104,@AppleSupport How do I stop Family Sharing members from charging my credit card?,billing_refund,AUTO-HANDLE,Turn off Purchase Sharing under Settings > Family > Purchase Sharing.,candidate_for_human_verification - Curated AppleSupport domain example
gold_105,@AppleSupport Account balance of $15 gift card credit disappeared from account.,billing_refund,ESCALATE,Contact Apple Support billing team to audit gift card ledger balance.,candidate_for_human_verification - Curated AppleSupport domain example
gold_106,@AppleSupport How do I get an official invoice PDF receipt for my MacBook purchase?,billing_refund,AUTO-HANDLE,Download tax invoice at apple.com/orderstatus or check order confirmation email.,candidate_for_human_verification - Curated AppleSupport domain example
gold_107,@AppleSupport Charged twice for iCloud 200GB storage upgrade this month.,billing_refund,ESCALATE,Submit billing dispute at reportaproblem.apple.com.,candidate_for_human_verification - Curated AppleSupport domain example
gold_108,@AppleSupport Free 6 months Apple Music offer with AirPods purchase not showing in app.,billing_refund,AUTO-HANDLE,Redeem offer within 90 days of pairing new AirPods in Apple Music app.,candidate_for_human_verification - Curated AppleSupport domain example
gold_109,@AppleSupport Card charged for app subscription after I already cancelled it last week.,billing_refund,ESCALATE,Verify cancellation timestamp; submit refund claim at reportaproblem.apple.com.,candidate_for_human_verification - Curated AppleSupport domain example
gold_110,@AppleSupport How to remove expired credit card from Apple Pay Wallet app?,billing_refund,AUTO-HANDLE,Open Wallet app > select card > tap menu button > select Remove Card.,candidate_for_human_verification - Curated AppleSupport domain example
gold_111,@AppleSupport App developer promised refund but money has not returned to bank account.,billing_refund,ESCALATE,Refunds take 3-5 business days; check status at reportaproblem.apple.com.,candidate_for_human_verification - Curated AppleSupport domain example
gold_112,@AppleSupport How do I turn off automatic renewal for Apple TV+ subscription?,billing_refund,AUTO-HANDLE,Cancel subscription under Settings > [Your Name] > Subscriptions.,candidate_for_human_verification - Curated AppleSupport domain example
gold_113,@AppleSupport Credit card charged in foreign currency with extra transaction fee.,billing_refund,ESCALATE,Update billing region in Apple ID account settings.,candidate_for_human_verification - Curated AppleSupport domain example
gold_114,@AppleSupport Can I share Apple One subscription with family members?,billing_refund,AUTO-HANDLE,Apple One Family or Premier plans can be shared with up to 5 family members.,candidate_for_human_verification - Curated AppleSupport domain example
gold_115,@AppleSupport In-app purchase item bought for $19.99 never unlocked in game.,billing_refund,ESCALATE,Report missing item purchase at reportaproblem.apple.com or contact developer.,candidate_for_human_verification - Curated AppleSupport domain example
gold_116,@AppleSupport How do I set up Apple Pay on my new iPhone 15?,billing_refund,AUTO-HANDLE,Open Wallet app > tap + button > follow screen instructions to add card.,candidate_for_human_verification - Curated AppleSupport domain example
gold_117,@AppleSupport Bank flagged Apple Store transaction as fraudulent and blocked card.,billing_refund,ESCALATE,Contact issuing bank to authorize charge and update payment method.,candidate_for_human_verification - Curated AppleSupport domain example
gold_118,@AppleSupport How to check remaining balance on Apple Gift Card?,billing_refund,AUTO-HANDLE,Check balance online at apple.com/go/gcb/us or in Wallet app.,candidate_for_human_verification - Curated AppleSupport domain example
gold_119,@AppleSupport Billed for subscription after deleting app from home screen.,billing_refund,ESCALATE,Deleting an app does not cancel subscription; direct to subscription settings.,candidate_for_human_verification - Curated AppleSupport domain example
gold_120,@AppleSupport How do I change Apple Pay default payment card?,billing_refund,AUTO-HANDLE,Go to Settings > Wallet & Apple Pay > Default Card under Transaction Defaults.,candidate_for_human_verification - Curated AppleSupport domain example
gold_121,@AppleSupport Left AirPod Pro completely dead and silent while right AirPod works fine.,accessory_connectivity,AUTO-HANDLE,Clean charging tail/case contacts; reset AirPods by holding case setup button.,candidate_for_human_verification - Curated AppleSupport domain example
gold_122,@AppleSupport My Apple Watch Series 8 will not pair with my new iPhone 15.,accessory_connectivity,AUTO-HANDLE,Unpair Watch from old phone; reset network settings; restart both devices.,candidate_for_human_verification - Curated AppleSupport domain example
gold_123,@AppleSupport Right AirPod micro-phone has extreme static sound during calls.,accessory_connectivity,AUTO-HANDLE,Reset AirPods; clean mic grill at bottom of stem.,candidate_for_human_verification - Curated AppleSupport domain example
gold_124,@AppleSupport MagSafe wallet animation stopped showing when attached.,accessory_connectivity,AUTO-HANDLE,Toggle Find My MagSafe wallet settings; restart iPhone.,candidate_for_human_verification - Curated AppleSupport domain example
gold_125,@AppleSupport Apple Pencil 2nd gen drops Bluetooth connection every few minutes.,accessory_connectivity,AUTO-HANDLE,"Unpair Pencil in Bluetooth settings, re-attach magnetically to side of iPad.",candidate_for_human_verification - Curated AppleSupport domain example
gold_126,@AppleSupport AirPods case light flashing orange continuously and won't pair.,accessory_connectivity,AUTO-HANDLE,Reset AirPods case by holding setup button for 15 seconds until light flashes amber then white.,candidate_for_human_verification - Curated AppleSupport domain example
gold_127,@AppleSupport Apple Watch battery drains from 100% to zero in 5 hours.,accessory_connectivity,AUTO-HANDLE,Check Watch battery health; unpair and re-pair Watch as new device.,candidate_for_human_verification - Curated AppleSupport domain example
gold_128,@AppleSupport Magic Keyboard trackpad gesture scrolling reversed on iPad.,accessory_connectivity,AUTO-HANDLE,Adjust Natural Scrolling setting under Settings > General > Trackpad.,candidate_for_human_verification - Curated AppleSupport domain example
gold_129,@AppleSupport AirPods Max ear cups squeaking with high pitched feedback noise.,accessory_connectivity,AUTO-HANDLE,Clean optical sensors; restart AirPods Max by holding noise control and crown button.,candidate_for_human_verification - Curated AppleSupport domain example
gold_130,@AppleSupport AirTag battery low warning showing after 14 months of use.,accessory_connectivity,AUTO-HANDLE,Replace AirTag CR2032 coin cell battery.,candidate_for_human_verification - Curated AppleSupport domain example
gold_131,@AppleSupport Apple Watch screen stuck on red exclamation mark icon.,accessory_connectivity,AUTO-HANDLE,Double-press side button and follow recovery steps on paired iPhone.,candidate_for_human_verification - Curated AppleSupport domain example
gold_132,@AppleSupport Beats Studio Buds audio dropping in right ear outdoor.,accessory_connectivity,AUTO-HANDLE,Reset Beats buds; update Beats firmware via Beats app or iOS settings.,candidate_for_human_verification - Curated AppleSupport domain example
gold_133,@AppleSupport Magic Mouse won't connect via Bluetooth to Mac mini.,accessory_connectivity,AUTO-HANDLE,Connect Magic Mouse to Mac via Lightning cable to re-establish Bluetooth pairing.,candidate_for_human_verification - Curated AppleSupport domain example
gold_134,@AppleSupport AirPods Pro Noise Cancellation mode feels weaker after firmware update.,accessory_connectivity,AUTO-HANDLE,Ensure silicone ear tips fit snugly; run Ear Tip Fit Test in settings.,candidate_for_human_verification - Curated AppleSupport domain example
gold_135,@AppleSupport Apple Pencil tip worn down to metal stem. Do I replace tip?,accessory_connectivity,AUTO-HANDLE,Replace worn Apple Pencil tip with official Apple Pencil Replacement Tips.,candidate_for_human_verification - Curated AppleSupport domain example
gold_136,@AppleSupport MagSafe Battery Pack charging iPhone slowly at 5W.,accessory_connectivity,AUTO-HANDLE,Connect MagSafe Battery Pack to 20W+ power adapter to charge at 15W.,candidate_for_human_verification - Curated AppleSupport domain example
gold_137,@AppleSupport Apple Watch Digital Crown dial feels sticky and hard to turn.,accessory_connectivity,AUTO-HANDLE,Rinse Digital Crown under warm tap water for 10 seconds while turning.,candidate_for_human_verification - Curated AppleSupport domain example
